Address,Name Tag,Balance,Txn Count
0x111111125434b319222cdbf8c261674adb56f3ae,1inch Network v2,0,703754
0xdb38ae75c5f44276803345f7f02e95a0aeef5944,1inch v3: Router,0,1
0x1111111254fb6c44bac0bed2854e76f90643097d,1inch v4: Router,0,1171258
0x11111254369792b2ca5d084ab5eea397ca8fa48b,1inch.exchange,0,348925
0xd47140f6ab73f6d6b6675fb1610bb5e9b5d96fe5,1inch.exchange v2: Old Router,0,1
0xe069cb01d06ba617bcdf789bf2ff0d5e5ca20c71,1inch.exchange v2: Router,0,2
0xe8fff15bb5e14095bfdfa8bb85d83cc900c23c56,AfroDex,0.76982665,856
0x4572f2554421bd64bef1c22c8a81840e8d496bea,AirSwap,0,4287
0xc549a5c701cb6e6cbc091007a80c089c49595468,AirSwap: Light,0,117
0xa58f22e0766b3764376c92915ba545d583c19dbc,Alchemist Coin: MistX Router,1.19866824,38145
0xfcadf926669e7cad0e50287ea7d563020289ed2c,Alchemist Coin: MistX Router 2,0.33395892,13330
0xdc1882f350b42ac9a23508996254b1915c78b204,Allbit 1,0,21424
0xff6b1cdfd2d3e37977d7938aa06b6d89d6675e27,Allbit 2,0,43087
0x0e8ba001a821f3ce0734763d008c9d7c957f5852,AmadeusRelay,1.00302525,25
0xc898fbee1cc94c0ff077faa5449915a506eff384,Bamboo Relay,0.00246151,18
0x3c020e014069df790d4f4e63fd297ba4e1c8e51f,Bitcratic,31.50563719,58845
0x39fbd1140cd1fc298f00c3ea64b3591de94c67e7,BitEye 1,1.22190376,386
0xb5adb233f28c86cef693451b67e1f2d41da97d21,Bitox.io,2.48114994,24977
0xa4dc97a565e2364cdeb4efe38c0f153bccb62b01,BTswap: Router,0,5629
0xa2b47e3d5c44877cca798226b7b8118f9bfb7a56,Curve.fi: Compound Swap,0,3558
0x52ea46506b9cc5ef470c5bf89f17dc28bb35d85c,Curve.fi: USDT Swap,0,2079
0x45f783cce6b7ff23b2ab2d70e416cdb7d6055f51,Curve.fi: y Swap,0,16453
0x49497a4d914ae91d34ce80030fe620687bf333fd,DDEX 1.0,1.77633878,117887
0xaf8ae6955d07776ab690e565ba6fbc79b8de3a5d,DeversiFi,285.88460627,16661
0x5d22045daceab03b158031ecb7d9d06fad24609b,DeversiFi: Bridge,1636.42102063,14392
0x745daa146934b27e3f0b6bff1a6e36b9b90fb131,DEX.AG: Proxy Contract,0,14638
0x000000000000541e251335090ac5b47176af4f7e,dex.blue,10.16206019,18194
0x7600977eb9effa627d6bd0da2e5be35e11566341,DEx.top,165.7573752,289159
0x268be5667d4e5bd036bd608d0601ef1441604429,DINNGO: Proxy,6.55057459,3680
0x6f400810b62df8e13fded51be75ff5393eaa841f,DXdao: Mesa,0,174287
0x58a5959a6c528c5d5e03f7b9e5102350e24005f1,ERC dEX,0,2
0x4aea7cf559f67cedcad07e12ae6bc00f07e8cf65,EtherDelta 1,221.09493788,4206
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,EtherDelta 2,16933.60756916,11542459
0xa5cc679a3528956e8032df4f03756c077c1ee3f4,EtherMium,7.64809964,13723
