Address,Name Tag, Balance, Txn Count
0x1ccbdff6336b1027995a27a77b41fa87eb6608a3,Nameless_1,0.04663497 Ether,8
0x4dc98c79a52968a6c20ce9a7a08d5e8d1c2d5605,Nameless_2,0.00477614 Ether,522
0xbb3fd383d1c5540e52ef0a7bcb9433375793aeaf,Nameless_3,0.9035145 Ether,73952
0x05f51aab068caa6ab7eeb672f88c180f67f17ec7,ABCC,0 Ether,59516
0x2ddd202174a72514ed522e77972b461b03155525,Alcumex Exchange,0 Ether,709
0xaecbe94703df39b49ac440feb177c7f1f782c064,APROBIT,0.00582716 Ether,895
0xf0c80fb9fb22bef8269cb6feb9a51130288a671f,Artis Turba Exchange 1,0.00188909 Ether,4085
0x94597850916a49b3b152ee374e97260b99249f5b,Artis Turba Exchange 2,0.00011134 Ether,320
0x82a403c14483931b2ff6e4440c8373ccfee698b8,ArzPaya.com,0.00064651 Ether,2618
0x03bdf69b1322d623836afbd27679a1c0afa067e9,AscendEX 1,0.84458908 Ether,150809
0x4b1a99467a284cc690e3237bc69105956816f762,AscendEX 2,2198.39929871 Ether,40585
0x986a2fca9eda0e06fbf7839b89bfc006ee2a23dd,AscendEX 3,0 Ether,561077
0x4df5f3610e2471095a130d7d934d551f3dde01ed,ATAIX,6.12896819 Ether,5994
0x92dbd8e0a46edd62aa42d1f7902d0e496bddc15a,Azbit,0.00975809 Ether,4852
0xadb72986ead16bdbc99208086bd431c1aa38938e,Beaxy,0 Ether,1562
0x258b7b9a1ba92f47f5f4f5e733293477620a82cb,Beldex,0.09099323 Ether,1376
0x7a10ec7d68a048bdae36a70e93532d31423170fa,Bgogo 1,0.01655263 Ether,23056
0xce1bf8e51f8b39e51c6184e059786d1c0eaf360f,Bgogo 2,0.0081074 Ether,7736
0xf73c3c65bde10bf26c2e1763104e609a41702efe,Bibox,34.68609293 Ether,825005
0x0bb5de248dbbd31ee6c402c3c4a70293024acf74,Bidesk 2,0.00624614 Ether,37580
0xed5cdb0d02152046e6f234ad578613831b9184d4,Bidesk 3,0.00374962 Ether,47129
0xa30d8157911ef23c46c0eb71889efe6a648a41f7,BigONE,761.2941501 Ether,117669
0x6eff3372fa352b239bb24ff91b423a572347000d,BIKI.com,0.19574273 Ether,253214
0xf7793d27a1b76cdf14db7c83e82c772cf7c92910,Bilaxy 1,0.02510312 Ether,197321
0xcce8d59affdd93be338fc77fa0a298c2cb65da59,Bilaxy 2,0.09390058 Ether,228543
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,Binance,2.38542664 Ether,17017330
0x85b931a32a0725be14285b66f1a22178c672d69b,Binance 10,1.10052119 Ether,1221112
0x708396f17127c42383e3b9014072679b2f60b82f,Binance 11,12.02580677 Ether,1239489
0xe0f0cfde7ee664943906f17f7f14342e76a5cec7,Binance 12,0.10385424 Ether,551799
0x8f22f2063d253846b53609231ed80fa571bc0c8f,Binance 13,1.15859155 Ether,545205
0x28c6c06298d514db089934071355e5743bf21d60,Binance 14,72030.84349693 Ether,6810499
0x21a31ee1afc51d94c2efccaa2092ad1028285549,Binance 15,10706.25534841 Ether,3823060
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,Binance 16,13525.33007413 Ether,3613263
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,Binance 17,12026.85666705 Ether,3005281
0x9696f59e4d72e237be84ffd425dcad154bf96976,Binance 18,13016.86226146 Ether,2774645
0x4d9ff50ef4da947364bb9650892b2554e7be5e2b,Binance 19,71.64101224 Ether,1241713
0xd551234ae421e3bcba99a0da6d736074f22192ff,Binance 2,0.5707654 Ether,4976488
0x4976a4a02f38326660d17bf34b431dc6e2eb2327,Binance 20,22399.45194654 Ether,1354578
0xd88b55467f58af508dbfdc597e8ebd2ad2de49b3,Binance 21,0.00930047 Ether,32
0x7dfe9a368b6cf0c0309b763bb8d16da326e8f46e,Binance 22,0.01066119 Ether,444
0x345d8e3a1f62ee6b1d483890976fd66168e390f2,Binance 23,827.88264219 Ether,25291
0xc3c8e0a39769e2308869f7461364ca48155d1d9e,Binance 24,0.00668975 Ether,909
0x2e581a5ae722207aa59acd3939771e7c7052dd3d,Binance 25,0.03468339 Ether,103
0x44592b81c05b4c35efb8424eb9d62538b949ebbf,Binance 26,0.04079434 Ether,136
0xd5fd1bc99d5801278345e9d29be2225d06c26e93,Binance 27,0.02492645 Ether,163
0x06a0048079ec6571cd1b537418869cde6191d42d,Binance 29,37913.56193792 Ether,5
0x564286362092d8e7936f0549571a803b203aaced,Binance 3,12.08903744 Ether,4864423
0x892e9e24aea3f27f4c6e9360e312cce93cc98ebe,Binance 30,339.94814086 Ether,35048
0x00799bbc833d5b168f0410312d2a8fd9e0e3079c,Binance 31,0.00010971 Ether,8352
0x141fef8cd8397a390afe94846c8bd6f4ab981c48,Binance 32,2.6290359 Ether,10209
0x50d669f43b484166680ecc3670e4766cdb0945ce,Binance 33,0.48106511 Ether,30
0x2f7e209e0f5f645c7612d7610193fe268f118b28,Binance 34,0.00482038 Ether,29
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,Binance 4,2.46327234 Ether,4946269
0xfe9e8709d3215310075d67e3ed32a380ccf451c8,Binance 5,0.08190346 Ether,13403
0x4e9ce36e442e55ecd9025b9a6e0d88485d628a67,Binance 6,0.10388024 Ether,396
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,Binance 7,1996008.27987735 Ether,1093
0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8,500176.48680433 Ether,8419
0x001866ae5b3de6caa5a51543fd9fb64f524f5478,Binance 9,1113.13702678 Ether,3832
0xab83d182f3485cf1d6ccdd34c7cfef95b4c08da4,Binance JEX,51.85941497 Ether,18275
0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,Binance: Binance-Peg Tokens,0.09461777 Ether,34
0x4b729cf402cfcffd057e254924b32241aedc1795,Bit-Z,0.50091 Ether,206950
0x7c49e1c0e33f3efb57d64b7690fa287c8d15b90a,Bit2C,237.34655346 Ether,12846
0x0d8824ca76e627e9cc8227faa3b3993986ce9e48,BitBase 1,2.43626457 Ether,1539
0x6dcd15a0dbefd0700063a4445382d3506391a41a,BitBase 2,0.39624962 Ether,4072
0x2b49ce21ad2004cfb3d0b51b2e8ec0406d632513,Bitbee,0.42091288 Ether,1358
0x5d375281582791a38e0348915fa9cbc6139e9c2a,BitBlinx,5.71439909 Ether,16565
0x7a91a362d4f2c9c4627688d5b7090bbb12e5715f,Bitci,0.00005834 Ether,2053
0x28ebe764b8f9a853509840645216d3c2c0fd774b,BiteBTC,0.0071963 Ether,14592
0x7217d64f77041ce320c356d1a2185bcb89798a0a,Bitexlive,0.000027 Ether,3844
0x57a47cfe647306a406118b6cf36459a1756823d0,Bitexlive 2,0.00851552 Ether,286
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,Bitfinex 1,9.9617274 Ether,391318
0x36a85757645e8e8aec062a1dee289c7d615901ca,Bitfinex 10,177328.30765968 Ether,26
0xc56fefd1028b0534bfadcdb580d3519b5586246e,Bitfinex 11,95263.26323519 Ether,1
0x0b73f67a49273fc4b9a65dbd25d7d0918e734e63,Bitfinex 12,34740.37540505 Ether,1
0x482f02e8bc15b5eabc52c6497b425b3ca3c821e8,Bitfinex 13,27299.26292826 Ether,1
0x742d35cc6634c0532925a3b844bc454e4438f44e,Bitfinex 2,879336.05549436 Ether,16523
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,Bitfinex 3,22102.46414104 Ether,2214957
0xdcd0272462140d0a3ced6c4bf970c7641f08cd2c,Bitfinex 4,123587.69025187 Ether,10
0x4fdd5eb2fb260149a3903859043e962ab89d8ed4,Bitfinex 5,100116.86592345 Ether,23
0x1b29dd8ff0eb3240238bf97cafd6edea05d5ba82,Bitfinex 6,1.42460626 Ether,11
0x30a2ebf10f34c6c4874b0bdd5740690fd2f3b70c,Bitfinex 7,2.10290367 Ether,4
0x3f7e77b627676763997344a1ad71acb765fc8ac5,Bitfinex 8,75026.12978599 Ether,8
